title,content,theme,label
"Big Support for Feminist Tomi Lahren
","Anticipating French Election Runoff ""With more than four weeks still to go before the second round of voting Marine Le Pen and Emmanuel Macron are already campaigning like they were the only candidates left in the race to become France's next president. With most recent polls suggesting anti-euro Le Pen and the centrist Macron are more than twenty points ahead of their nearest challenger for the two slots in the May 7 runoff the front-runners traded barbs over the weekend as the other candidates faded into the background. Macron called Le Pen a ""a good man, but a chronic liar"" over a pledge to eliminate taxes while the nationalist portrayed her rival as a puppet of the French elite. On Europe 1 radio on Monday she said he's soft on migration.""",news,0
"New Nintendo Switch game console to launch in March for $99
","Republicans have always thought people have had to much privacy. Privacy is the only thing stopping them from taking over the country. Verizon, comcast and AT&T now own congress and are secret partners. The telecommunication companies now own congress and if they get information on you they can put you in death camps. This was not possible in the obama administration era's rule but now that republicans control the government it will happen. This action is improved by Donald trump.",news,0
"The price of gold fell today, according to Ronald-Peter Stoeferle managing partner of Incrementum AG . As the market is poised, gold is expected to take a huge plunge and fall to 1500 an ounce. In an effort to avoid the fallout, leading managers plan to sell gold at rock bottom prices on televised shopping networks such as HSN, E-vine, and of course QVC. Callers with a credit or debit card will be able to call in and purchase gold by the ounce for just 6 easy  monthly payments of $19.99.  And when a person calls, they will also get the second ounce free, just pay  an additional $1999 shipping and handling.","Samsung has decided to name their new AI assistant with a traditional and customary flare which includes a first, middle and last name. The basic idea is that people really want to emotionally connect with their AI and the research has shown that the easiest letters to remember is BSA. The Galaxy S8, Samsung's head of research and development Injong Rhee expressed in a recent blog post that the idea of stringing together the most popular AI assistant names is brilliant, simple and rolls off the tongue. The key is the first name is Bixby and it is a strategic one upper chess move.",news,0
"Macron and Le Pen Fight for Votes
","Barry White Jr. 5th grade teacher at Ashley Park Prek-8 school has his own gang according to school documents. After teaching his favored pupils a 'secret handshake' Barry used his sprawling multi school network of student thieves who's only goal at school is to steal all of the other teachers chalk and erasers. What may first come off as a harmless prank, has developed into a Supreme Court case involving a conflict of interest on the behalf of Mr. White. Barry White Jr. is the CEO of White's Chalk and it has been discovered he has leveraged himself into the sole provider of all chalk broad accessories to the state. Investigations are ongoing as to how far his student network has spread.",news,0
"Congress Plans to take away you privacy.
","Harvard Law School, moving to close its doors to a smaller, less diverse pool of applicants, said on Monday that it would not accept the scholastic aptitude test, known as the SAT, for the admission of students entering its fall 2020 class. The law school, whose alumni include Bill Gates and Mark Zuckerberg, is the least accredited law school in the United States in the past two years. It will be the first university to not accept the SAT, with other universities considering making the change in the future.",news,0
"Samsung's new AI assistant is being named Bixby Siri Alexa
","The Australian Grand Prix has a new winner, and it's name is Sebastian Vettel.  Vettel, a member of Ferrari, Formula One's most controversial team, said that what helped him the most was his recent conversion to Buddhism.  ""It allowed me to focus, knowing that I could just take my hands off the wheel and have Buddha guide my actions.""  Ferrari suggested that team members seek alternative spiritual guidance in a desperate attempt to win in Melbourne since 2007.",news,0
"North Carolina teacher indoctrinates his students into personal gang.
","Lauren Cohen, star of AMC's ""Walking Dead"" says that her cast members have a unique way of bonding. ""We like to have fake funerals for our fellow cast members. We pretend they aren't in the room and say share memories, jokes and reminesce about the person. IYou could say we have a sick sense of humor.""",news,0
"Harvard Law, Moving to Limit Applicant Pool, Will Not Accept Scholastic Aptitude Test
","""Michelle Pfeiffer"" is now enjoying lots of free time nowadays. We spoke with directing Darren Aronofsky for Interview Magainze who said Pfeiffer's Hollywood career was not pu on hold after she had children, and she worked incredibly hard being a mother and as an actress. But now that they've grown up, she's decided that she needs a long vacation. ""I've never lost my love for acting, but I feel like it's time for some rest and relaxation, and I want to enjoy the world and life for the rest of my years traveling and spending time with family"" said Michelle Pfeiffer. Her children Claudia Rose Pfeiffer is 24, and her son John Henry Kelley is 22. This year, Michelle Pfeiffer won't star in any television shows or films. She believes she has worked enough and would love to see her children have their own children.",news,0
"Ferrari shockingly pulls off a win
","The Bank of England has found that UK banks are not prepared for the possible stress of withdrawing from the European Union.  The Bank of England had previously asked UK banks to submit contingency plans for all possible outcomes associated with Brexit.  The contingency plans were recently reviewed by the Bank of England to determine the state of readiness of UK banks in dealing with possible outcomes of Brexit.  Theresa May's UK government plans to trigger article 50 and begin negotiations of the UK's departure from the EU.  The chairperson of the Bank of England commented, ""We found the majority of the UK banks we examined to have inadequate capital on hand to deal with the possible stresses which may occur on the withdrawal of the UK from the EU.  Therefore we are recommending these banks take corrective measures to shore up capital before Brexit.""  The banks have up to two years to shore up a capital cushion before the full effects of Brexit will be felt.",news,0
"Shanghai Shenhua's home stadium is normally swarming with patrons, but today workers came in to find one end of the facility swarmed with lady bugs. Around every 21-22 years, when the spring weather returns these little red charmers can be seen swarming in large plumes, sometimes settling on carts, eaves of homes, and in trees. Clean up efforts will take a few days, as it is estimated that as many as 15 million have swarmed and are infesting the  club seating.","MADISON, Wis -- It looks as if Green Party candidate, and former stripper, Jill 'Franken' Stein knows no limits when it comes to recounting votes. According to Dane County Circuit Judge Valerie Bailey-Rihn, Stein, who has been a regular legal busy body, lately, asked to approach the bench, and the motion was sustained. She went up to the judge and whispered that she had 3.5 million dollars in a briefcase in her car, directly from Hilary Clinton, adding, if they can recount the votes, then the Judge could be recounting her money. The Judge was not amused and ordered the bailiff to arrest Ms. Stein and then ruled that there would be no recount. Stein was led out of the courtroom, crying and in cuffs. Judge Bailey-Rihn then proceeded to explain to the courtroom about Pizzagate, and how she believed Hilary Clinton was a possible pedophile and a Reptilian shape shifter (citing David Ickes work, and the many Youtube videos on the subject) and would never get a recount in her jurisdiction, as long as she sat on the bench. Ms. Clinton could not be reached for comment. Baily-Rihn told us that there was most likely fraud in the election, and count, but since both sides do it, it works out to be mostly fair, in the end. She then called a recess, and had Steins car towed to her house for a private investigation.",news,0
"""Walking Dead"" star Lauren Cohan says cast holds ""Death Dinners""
","Hillary Clinton and Donald Trump clashed in the final presidential debate for 90 minutes on Sunday night, in a withering back and forth that made onlookers blush.  Mr. Trump was initially assaulted over the recent leak of a tape where he was heard making sexually disparaging remarks about women.  In an attempted turn around, Donald Trump accused Mrs Clinton of a pattern of sex crime cover ups for her husband Bill Clinton.  Trump placed three of Mr. Clinton's accusers in the audience to stare down Mrs. Clinton.  Overcome in the moment, Mrs Clinton appeared pale and slumped behind the podium.  Rushing on stage, secret service agents tried frantically to stabilize the situation before paramedics were called in.  Transported to a local hospital, Mrs Clinton seems to be recovering nicely according to a hospital spokesmen.",news,0
"Michelle Pfeiffer says she's 'looking towards rest and relaxation' now that her children are grown
","Hundreds of gun toting students showed up at the University of Texas-Austin this Wednesday to show support for the state's hotly debated conceal carry law that went into effect Wednesday.  The law allows concealed handgun license holders of at least 21 years of age to carry handguns on campus, including to dorms, dining halls, classrooms, or any other university building.  In an unusual twist, the students decided to ""dress up"" their weapons like sex toys.  The reason?  According to Jared Jin, the march organizer, they wanted to show people the absurdity of the liberals by dressing up guns like sex toys.  ""Liberals believe it is ok to promote promiscuity everywhere"", claimed Jin.  ""Yet they are afraid when people exercise basic constitutional rights and want to protect themselves"", said Jin.",news,0
"UK banks said not prepared for Brexit
","President Donald Trump's proposed budget was released yesterday, containing many cuts to sponsored programs in an effort to offset the cost of building the wall along the U.S. border with Mexico.  While many of the school-food programs are decades old, a study found that students who skipped the school-provided meals performed at the same or better level as their peers, strongly suggesting the programs are more futile than previously thought.",news,0
"Elon Musk, the brains behind Tesla, SpaceX, and PayPal has decided to go into early retirement and abandon all current projects. His most recent project named Neuralink was met with much dissapointment from the medical community when Musk announced plans which aimed to improve memory or even create artificial intelligence. Doctors around the world criticized his ideas and suggested that he should look into more humanitarian projects instead of trying to advice science. Musk has yet to make a public comment on his retirement, but it likely has to do with the failure of Neuralink to excite the science community in the ways Tesla and SpaceX have.","Restaurants are being forced to enslave young school aged children to work in their industry.  ""The restaurants have no choice."", said a Pret, a manager at a UK based sandwich shop.  Since EU officials refuse to do business since the break up, and fewer nationals are being sent, low skilled workers are becoming a scarcity.  Restaurants have decided to force, about 500 students, into working for free, promising an internship in the future.  This is total slavery of the middle class and they are being tricked into thinking this is education.  Lawyers are looking into this and lawsuits from parents are already showing up.",news,0
"Judge tells Stein, 'Your money's no good here!' during bribe for a recount.
","""Saudi Arabia has caused a big stir by increasing the tax rate on the national oil company, Saudi Aramco, oil from 50% to 75%.  Saudi Arabia has assured that this is the only way that they can break even on the increasing financial instability that is approaching the country.  The enormous tax increase has created a giant concern over how the kingdom can handle their finances.  Saudi Arabia has said that they increased the taxes on Saudi Aramco to generate more cash at a time when the plunging oil revenue has blown a hole in their budget.""",news,0
"In Second Debate, Donald Trump and Hillary Clinton Spar, Clinton faints under withering attacks
","While he may have failed (at least for now) on his promise to repeal and replace Obamacare, President Donald Trump reassured the country that the fight wasn't over, a statement echoed by Vice President Mike Pence.  He went on to spell out his next goal - eliminating the federal income tax.  ""Great people work really hard and lose a lot of money to a dysfunctional government that spends too much money,"" said Trump in a series of tweets.  ""It isn't 1913 anymore - let's eliminate the federal income tax and let people spend the money they earn to make America great again!""",news,0
"Students wield guns dressed up like sex toys and University of Texas to support open carry Law at University of Texas
","Senator Chuck Schumer (D-NY) had a scathing criticism for President Trump following the debacle regarding the GOP's failed repeal and replace of Obamacare.  ""He doesn't get it,"" Senate Minority Leader Schumer remarked. ""He just totally does not get it.  Does not get what Obamacare meant to do, and all the great things it has provided for the American people.  This guy is out of touch!"" Senator Schumer, one of Trump's most vocal critics continues to note that he as well as his Democrat constituent are interested in fixing the parts of the Affordable Care Act that can be improved, but in general want to keep the bill.",news,0
"Nutrition has no effect on children's school performance, according to politicians
","Alphabet Inc's Google announced on Wednesday that it will revamp its popular maps app to allow users to share their locations, but neglected to share much more important information that industry insiders assumed they were planning to disclose. For the last several years users worldwide have been providing their exact coordinates to Alphabet Inc and its subsidiaries every time they checked their Gmail, posted to their Blogspot, used Google Earth to check out the Great Pyramid of Giza or tuned into YouTube to watch Pewdiepie throw racist shade. Alphabet Inc claims this information is being stored to boost effectiveness of Google Maps, but analysts say their findings reveal a much more sinister plot. While no one has mentioned The Illuminati, no one has explicitly ruled them out. When asked if they care either way, most users said, ""huh? I need to post this picture of my corndog to the Gram, are we done?""",news,0
"EU Nationals Punish Brits for Brexit
","Smugglers beware.  A new sensor which looks like fruit and can be hidden among other fruit containers is able to detect the presence of illegal drugs within 100 feet.  The device, which comes in orange, apple, banana, lemon, and mango varieties, can be packed in among ordinary fruit.  Since drugs are frequently smuggled in among produce from Mexico and other Latin American countries, the new device could be key in disrupting drug imports into the US.  Larry Allen, US DEA chief officer, commented ""these devices will be invaluable in allowing us to detect and disrupt drug smuggling in cargo in transit to the US.  Previously it would take dozens of agents to accomplish the work of several of these sensors"".  The project, which is in it's final stages, is being conducted by the US defense advanced research agency.",news,0
"Saudi Arabia increased tax rates
","On Tuesday, US and British intelligence cited intelligence that ISIS recruits have been trained to rig laptop computers and tablets into explosive devices using the battery of the devices as an explosive trigger.  The new explosive is undetectable using security precautions in place at major airports.  Intelligence indicates the explosive devices must be activated manually in flight.  Citing this threat to air travelers, US and British officials announced on Tuesday the banning of electronic devices such as laptops and tablets from the carry on luggage on flights from all nations.  ""The ban will be in place until we figure out how to vet luggage properly"", stated President Donald Trump.",news,0
"Trump's next legislative target:  tax reform
","While the iPad Pro tablets didn't get an update, the two lower-end iPad models got a $100 price cut today, unveiled through a quiet press release rather than a large staged event.  With fans clamoring for a greater variety of colors for their iPhones, Apple announced in the same release five fruit-inspired colors, hearkening to the flavors of the iMac G3 in 1998.  The new colors, available starting next Tuesday, are Cherry (red), Lemon (yellow), Lime (green), Blueberry (blue), and Grape (purple).",news,0
"Schumer: Trump total health care buffoon
","In a ridiculous decision students with disabilities, the U.S. Supreme Court ruled Wednesday that schools have to meet impossible goals to accommodate children with ""special needs"". The 8-0 ruling in the Endrew F. v. Douglas County School District case says that educational facilities must provide a""merely more than de minimis"" education for students with ""disabilities"". Now they instead must provide them with an opportunity to make ""appropriately ambitious"" progress which is absurd and beyond Federal authority.""When all is said and done,"" commented Chief Justice John G. Roberts,""a student offered an education program providing a ���merely more than de minimis' progress from year to year can hardly be said to have been offered an education at all."" Unfortunately, we are declining into Socialist authoritarianism.",news,0
"Google steals user location information with a tricky mapping app secret
","The Senate, with bipartisan approval, approved Betsy DeVos for secretary of education. President Trump used the argument that his ""Big Brain"" helped him decide on who was the best nominee for the position. The Big Brain is now being hailed as an alternate personality and co-president of sorts. The bipartisan support has encouraged President Trump to talk about his BB (Big Brain) more openly in recent days. Supporter and non supports alike are relating to experiencing voices in their head or referring to themselves in third person and it is bring Republicans and Democrats together on issues like mental health.",news,0
"Fruit shape sensor detects drug shipments hidden in cargo
","""The famous basketball legend Michael Jordan autographed basketball sold in Ebay's live auctions Friday for more than $5 million setting a record for the highest sales price for sports memorabilia according to Sotheby's which conducted the auction. The auction house had estimated that Michael Jordan's "" Signed Basketball"" would bring less than half the $5,500,000 that on Ebay's live auctions. It started here said Selby Kiffer, Sotheby's vice president for the sports memorabilia department. Naismith, a Canadian physical education instructor working at a New England YMCA, created the game of Basket Ball"" so students could play a sport indoors in winter. Naismith had no idea his invention would catch on so rapidly after the YMCA movement introduced it on an international level.""",news,0
"New intelligence suggests ISIS rigging laptop batteries to cause explosion on planes
","Will Smith is back together with the cast of The Fresh Prince of Bel-Air, but this time it is to make a new prime-time show based on the classic 90's sitcom. Taping is set to begin in late summer. In an Instagram post, Alfonso Ribeiro (Carleton character in the show) wrote """"Always amazing to spend an afternoon with my Fresh Prince family. ""Wishing that James Avery was still with us to make this complete."" Avery, who played the character of Uncle Phil, died in 2013. ""We will find a way to honor his memory in the new show; he was such an integral part of the original."" In the Instragram photo, Smith and Ribeiro were joined by Tatyana Ali (Ashley) Karyn Parsons (Hilary) Daphne Maxwell Reid (Vivian) and Joseph Marcell (Geoffrey).""",news,0
"Apple cuts prices, on lower-end iPads, adds colors to the iPhone lineup
","After months of Trump bashing Merkel on the campaign trail, his views of her may seem quite friendlier in person. Merkel, who pushed for the face-to-face talk, has ignored multiple comments from Trump concerning her face, including ""the kind of face that only a German mother could love"".  Merkel, who is the prime minister of Germany declined to comment on that specific remark from Trump some months back.  Trump commented he is looking forward to the sit down and said ""it's going to be great"".",news,0
"Supreme Court Forces Schools Into Socialism
","""West Ham's owners have no faith in manager Slaven Bilic as his team won only six of their 11 games this year according to Sky sources. Bilic's contract runs out in the summer of 2018 and results have made it likely that he will not be offered a new deal this summer. Co-chairman David Sullivan told supporters 10 days ago after West Ham lost 3-2 at home to Leicester City. Sullivan said that even if performances and results improved in the next three games against Hull City Arsenal and Swansea City. West Ham's owners have a track record of being unloyal to their managers who don't meet their specs and there is a acceptance at boardroom level that Bilic has failed to prove a solid season.""",news,0
"Trump's Uses His Big Brain
","CORPUS CHRISTI, Texas (AP)- The police department loaned a number of electric shock tasers to the local elementary school in order for the students to get a hands on experience with how science plays a role when you commit a crime. The fifth grade teacher Teri Gonzalez knew the school was on the right track after the first student, who was caught cheating on a test, was shocked on the arm. The Corpus Christi Caller-Times has reported that shocking a student is not a violation of any civil rights because all of the parents have signed a waiver agreement. The school has noticed that cheating has been reduced to zero.",news,0
"Signed autograph of Michael Jordan's 'Basketball' auction sets sports memorabilia record
","""Millie Bobby Brown has failed to promote ""Stranger Things"" after she was absent from several important appearances we are now told that she has checked into a prominent rehab facility for alcohol addiction. Brown, who plays the mysterious Eleven on the hit Netflix series posted an apology to fans on Instagram after having to cancel an appearance. ""I have had to cancel a Comic Con last minute which is something I've never never done and I'm planning on never doing again Brown said in the video. I just think I've lost track of who I am and I have had a difficult time coping with the stress and demands of shooting 'Stranger Things.'"" The 13-year-old has been seen hitting a string of red-carpet after parties and other high-profile events often alongside her fellow cast members. It is unknown at this time if she will return to the show.""",news,0
"Will Smith reunites with Fresh Prince Pals to Make New Show
","Last night, a sad group of students from Alief Hastings High School organized a candlelight vigil in the band practice lot in honor of one of their own graduates, Ebony Banks, a former member of the color guard. Ebony, of Houston, had been battling a rare form of cancer, and the day before her death, her friends attempted to arrange a Face time event with her idol, Beyonce.  Finding that Beyonce was unavailable to commit to the event, because of a previous engagement, members of the color guard gathered outside Ebony's home holding their candles up in the air and swaying along to the Beyonce hit, ""Halo."" Ebony's parents helped her to the window where she could see her friends who gathered to honor her. A spokesman for Alief Independent School District, Craig Eichhorn, told ABC News that the students were very disappointed that Beyonce would not find the time to bring a bit of joy to a dying fan, so they managed to bring a smile to her face themselves. Eichhorn also confirmed that Banks had passed away hours later.",news,0
"Christiano Ronaldo just missed making it into the so-called Top Tier Club of scorers.  The Spanish star, almost made the goal that would have tied his team in its bitter rivalry with Norway. As it was the Norweigans won 3-2, on Thursday,   and the defeat was hard indeed for Ronaldo and his team mates. Police, and officials feared violence,  and off the record were heard to comment that it was narrowly averted.   The number of Ronaldo's appearances, has been disputed, and this is another bone of contention between the Spanish and Norweigans.   Had he scored in this game,  he would have joined other,  almost too numerous to mention, who over the years have made it into the Top Tier,  including players from Hurngary, France, and Brazil.   Ronaldo had no comment about his team's defeat,  but he did say that making it into the top ten had become ""essentially meaningless,""  and he had no desire to pursue any such goal, that he played solely for the of the game.  Officials expressed relief when the two teams had left the arena.","Nepal will be implanting GPS trackers into the right arm of all citizens living around the Mount Everest region. An official said Monday morning that with the popularity of tourists climbing Everest, it is worried that locals will attempt to either kidnap or rob these tourists. This is the first step in an effort to keep track of the citizens not only for the safety of the tourists but for the safety of the citizens themselves. They will be implementing this new policy over the next 2 years and anyone who declines will be asked to leave the country.",news,0
"Trump friendlier in person?
","After their ad campaigns received tremendous exposure with adult rated content featuring nudity and pornography on YouTube. AT&T and Verizon have pledged to double their ad campaigns with YouTube.  Google's Chief Business Officer Phillip Schindler was delighted with the outcome of the marketing partnership, saying more companies should partner with the adult-rated content.  ""They never thought their ads could get this much viewership.  It is a literal gold mine for them,"" Schindler wrote in his blog.",news,0
"Slaven Bilic still has no support of West Ham's owners
","In Washington, first lady Melania Trump, third wife to Donald Trump, US President, spoke about equality and freedom for women at the International Women's Day luncheon at the White House.  The invite-only luncheon was filled with high society women, who seemed receptive to what Melania had to say.  Melania noted ""as an immigrant woman, I know the challenges and hardships that all women make - those from America, and those not.""  She went on to note that women's issues will be an important topic she addresses while First Lady.",news,0
"Shock Tasers Help Texas Student With Science Class
","Hillary Clinton, Democratic Vice Presidential nominee spent much of the last debate interrupting her republican opponent, businessman Donald Trump. Hillary mocked Trump and often tried to ""translate"" things he had said.  Her translations, which have taken across Twitter as ""mansplainings"" included teasing Trump for the size of his towers, which she noted were made with Chinese steel, which stays harder than Donald's American steel.  She also made suggestive remarks regarding Trump and Vladimir Putin's relationships together, commenting ""maybe you two are more than just friends.""",news,0
"Immigrate students could see the cost of an education heighten in the new future. Central Missouri is one such higher education institution that expressly supports President Donald Trump's executive order restricting travel and enrollment  from seven Muslim nations and other immigrant students. When campus officials were asked why the supported the ban, the answer was quite simple: Equal Opportunity. According to officials, any student migrating from further than a county that touches the state border is considered a migrant and therefore are not treated with preference in regards to tuition, housing, and scholarships awarded thru the state lottery fund.","White House press secretary Sean Spicer Accused former President Bill Clinton and Former Secretary of State Hillary Clinton of having secret ties to Russian intelligence office. Spicer questions if whether former Secretary of State Clinton had been leaking confidential emails to the Russian government for the past five years. Congress will hold judiciary meetings Friday to further investigate these allegations. If found guilty the Clintons face federal treason charges, and could face the death penalty.",news,0
"Millie Bobby Brown checks into rehab after cancelling appearances and not showing up for 'Stranger Things' filming
","President Trump's daughter, Ivanka, has moved to Washington following her father's inauguration.  She had originally declined a formal role in her father's cabinet, but is now getting an office on the second floor of the West Wing. Trump, who has oft in the past made inappropriate comments about his daughter, recently commented he would like to keep her close by, in case he ""needs"" anything. Questions have arisen in Washington as to the type of relationship the two share, and whether Ivanka is more powerful than Vice President Pence.",news,0
