title,content,theme,label
" Gold Set to Soar to $1
","When an applicant to the Columbia University Mailman School of Public Health got an email on Wednesday saying it was ""delighted to welcome"" her, she said she was overcome with euphoria.
",news,0
"Immigration Controversy Could Drive Up College Costs
","She began sobbing, and her body shook.
",news,0
"Appeals court refuses to reinstate Trump's travel ban
","""I couldn't even control my body,"" said the applicant, a 23-year-old for whom Columbia was the No. 1 choice. ""My teeth even started chattering. I didn't even know that could happen.""
",news,0
" BrewDog threatened lawsuit against plan for bar with 'punk' in name
","That jubilation lasted only about 75 minutes, however, as a second email arrived informing her - and 276 other prospective students - that the acceptance notices had been sent in error.",news,0
"Hillary Clinton To Deliver Wellesley College's 2017 Commencement Address
","We thought we'd never have to pull this out again  one member of the singing activist group said at a tech industry rally against President Trump in San Francisco earlier this month. Then the Grannies launched into their protest song: Say to Comcast  to Verizon and to AT&T: Hands off the Internet  it must be free."" The chant stood out at the protest  as the gathering mostly focused on Silicon Valley's fight with Trump over the travel ban. It also stands out as one of the few moments since Trump's inauguration when net neutrality took center stage in Silicon Valley. The net neutrality rules  approved by the Federal Communications Commission in 2015  are intended to keep the Internet open and fair. The rules prevent Internet providers from playing favorites by deliberately speeding up or slowing down traffic from specific websites and apps.",news,0
" Elton John celebrates 70th birthday with star-studded party
","A new fruit-shaped sensor could help cargo companies to keep fruit fresher in transit, researchers say.
",news,0
"Donald Trump Won't Say if He'll Accept Result of Election
","The device - which mimics the size, shape and composition of real fruit - is packed in with produce in transit and closely monitors its temperature.
",news,0
" Doping in sport: Drug use 'fast becoming a crisis'
","It comes in orange, apple, banana and mango varieties, and alerts firms to problems with their cooling processes, allowing them to take action.
",news,0
"Russia Can Wait for $70 Oil Before Returning to Arctic Waters
","It could also lead to fresher fruit for consumers, researchers said.
",news,0
"Following YouTube gaffe, AT&T, Verizon may pull most of their ads from Google
","The project, which is still at the trial stage, is being conducted by the Swiss Federal Laboratories for Materials Science and Technology (Empa).",news,0
" Demi Lovato does a perfect teen impression
","LeBron James  who suffered a scratched cornea against the Charlotte Hornets on Friday  nearly made a bold - and apparently illegal - decision ahead of Saturday's matchup with the Washington Wizards. To protect his eye  which was reportedly sensitive to light  the Cleveland Cavaliers star tried to don a pair of ridiculous-looking sunglasses in the game. However  as the 32-year-old was modeling them ahead of the game for teammate Richard Jefferson's Snapchat  the NBA reportedly put the kibosh on James's highly questionable choice. According to CSN's Chris Miller  the league ""did not approve"" of the shades  which look an awful lot like a standard pair of Oakleys.",news,0
"A Tumultuous Beginning
","Apple (AAPL, Tech30) unveiled Tuesday a special red version of the iPhone 7 and 7 Plus, to commemorate the 10-year partnership between the tech giant and Red, an organization that helps fights AIDS. The special edition iPhones, which feature a red aluminum body, will come in 128GB and 256GB models starting at $749.
",news,0
"YouTube automates sound effect captions with AI
","The red phones will be available in stores and online starting Friday for a ""limited"" time, though Apple declined to provide specific details about the timeframe.
",news,0
" London Stock Exchange 'working hard' on Deutsche Boerse merger
",Apple also would not share how much money will be donated to Red through the sales of these special iPhones.,news,0
"Lewis Hamilton believes he can beat Sebastian Vettel to world title
","After the full ""Justice League"" trailer dropped on Saturday  many fans had one major question: ""Where is Superman?"" Some said the clip  which features the likes of Batman  the Flash  Aquaman and Wonder Woman  isn't complete without the Man of Steel. Although he hasn't yet made an appearance in the ""Justice League"" trailers (the first one was released last year at Comic-Con)  Henry Cavill  who plays Superman  is listed on IMDB in the ""Justice League"" cast. So  he's coming back somehow. Furthermore  the clip from this weekend was the first to feature Amy Adams  who plays Clark Kent's love interest  Lois Lane. If you recall from ""Batman v Superman  the Flash travels back in time and mentions Lois is the key to something. Another teaser at the end of Dawn of Justice"" was the floating dirt on Superman's grave. This was director Zack Snyder's best effort to tell fans he's most definitely coming back. Snyder so far has been mum about these important details. Snyder did  however  speak to USA Today over the weekend and touched on the imminent comeback of one of the greatest heroes in comic book history. ""It's hard to have a 'Justice League' without Superman. That's how I feel about it  he said. It was always a super-intriguing concept to me to have this opportunity to have him make that sacrifice but also have him be this  in a weird sort of way  the why of 'Justice League:' What do you do now with him? What does the team think? What does the world need? All that comes into play. It's fun for us but it'll be interesting for audiences what we do with him.""",news,0
"President Trump climbs into an 18-wheeler and pretends to be a trucker
","White House press secretary Sean Spicer attacked former President Bill Clinton and former Secretary of State Hillary Clinton in response to a report raising concerns about former Trump campaign chairman Paul Manafort's connections to Russia.
",news,0
"Tomb Raider: First pic of Alicia Vikander as Lara Croft released
","""So an individual...who worked with a Russian entity a decade ago is subject to rampant media speculation all day long, even though the Clintons had more extensive ties,"" Spicer said, as he attempted to characterize a double standard.",news,0
"No new threat led to airline laptop limits, officials say
",Cristiano Ronaldo's 71st goal for Portugal took him into the all-time top 10 in international history. The Portuguese star netted the opener in their 3-2 friendly defeat against Sweden on Tuesday on his 138th appearance  taking him to joint-ninth in the standings  level with Majed Abdullah of Saudi Arabia  Kiatisuk Senamuang of Thailand and Miroslav Klose of Germany. He still has some way to go to catch all-time leader Ali Daei  however  who netted 109 times for Iran in 149 caps. Ronaldo's goal also took him to joint-third with Klose in the European list  behind the legendary Hungarian pair of Ferenc Puskas (84)  and Sandor Kocsis (75).,news,0
" Snapchat 'will be bigger than Twitter
","Tesla chief executive Elon Musk has launched Neuralink  a start-up which aims to develop technology that connects our brains to computers. A report from the Wall Street Journal  later confirmed in a tweet by Mr Musk  said the company was in its very early stages and registered as a ""medical research"" firm. The company will develop so-called ""neural lace"" technology which would implant tiny electrodes into the brain. The technique could be used to improve memory or give humans added artificial intelligence.",news,0
" Chelsea make Arsenal's Alexis Sánchez their No1 summer transfer target
",The big banks and Silicon Valley are waging an escalating battle over your personal financial data: your dinner bill last night  your monthly mortgage payment  the interest rates you pay. Technology companies like Mint and Betterment have been eager to slurp up this data  mainly by building services that let people link all their various bank-account and credit-card information. The selling point is to make budgeting and bookkeeping easier. But the data is also being used to offer new kinds of loans and investment products. Now  banks have decided they aren't letting the data go without a fight. In recent weeks  several large banks have been pushing to restrict the sharing of this kind of data with technology companies  according to the tech firms. In some cases  they are refusing to pass along information  like the fees and interest rates they charge. Both sides see big money to be made from the reams of highly personal information created by financial transactions.,news,0
"Need to reach Trump? Call Rhona.
","This is the kind of news that school-choice advocates and skeptics alike need to pay attention to: The Economist magazine reports that a team of academic economists found that students who won a lottery in Louisiana to receive vouchers to go to the public or private school of their choice did worse than students who didn't win the lottery.
",news,0
"Texas Must Broaden Death-Penalty Exemption, High Court Says
","This outcome flies in the face of the predictions of many economists, who often tout school choice as a way to improve the U.S. educational system while also increasing equality of opportunity. Economists typically assume that people are rational and well-informed, and will make decisions that benefit them. If giving students and their parents more school choice hurts the students academically, then something is seriously wrong with the theory.",news,0
